rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Wheaton,"Iafrate,Dimetri",0,G,28,36.642857142857146,19.46,5.18,4.54,2.89,0.25,2.25,8.432179517693314,2.3612496096607813,0.7554316916314476,2.8603217830731396,4.286436983611856,-0.28781406747866334,1.0258232399850706
2,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Coast Guard,"Farrell,Luke",0,F,25,27.52,17.56,8.48,1.76,0.64,1.44,2.28,6.089218144490561,1.9488426891028925,2.524141366572958,0.12460465436512769,-0.3666583206740617,2.7475041100268576,1.0662654288103526
3,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Molen,Justin",0,G,26,31.346153846153847,15.12,6.88,4.08,1.19,0.54,2.269230769230769,5.4603417609520815,1.4192253805969723,1.6665851605407105,2.4076491646538285,0.7707649759291625,0.4518853203167999,1.051747720001277
4,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"Margoupis,Jack",0,F,15,32.06666666666667,20.2,6.33,1.8,0.73,0.4,2.1333333333333333,5.381068727477798,2.52187125240438,1.3718002147171255,0.16396749074941566,-0.180534508502625,0.09478906413967975,0.8685480612200847
5,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Iscandari,Aliaun",0,G,26,29.5,18.62,3.77,3.0,2.46,0.15,2.8461538461538463,5.262600963795824,2.1789223395193993,-0.0002897149344702319,1.344852582278054,3.3971787699038805,-0.542882821890892,1.8294821204874716
6,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Timmy O'Toole,0,*,27,23.814814814814813,9.93,9.15,1.7,1.67,1.07,0.9629629629629628,5.000513821154421,0.2927033186520031,2.8832430278489616,0.06556039978869573,1.7634253075101582,1.8037497187016118,-0.7091965892477113
7,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"John,Boluwasefe",0,F,23,31.130434782608695,14.74,6.83,1.52,1.35,1.3,2.391304347826087,4.516218263639046,1.3367439964853949,1.639786529102203,-0.11157236394059995,1.101651753122828,2.3904078538497378,1.2163118105389357
8,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"Seymour,Sean",0,G,27,35.51851851851852,16.33,4.59,2.04,0.89,0.59,1.8888888888888888,3.8849442799367813,1.681863472110154,0.4392078406570565,0.4001445090551433,0.1503522686910403,0.5794196975229141,0.5390191152363045
9,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Bledsoe,Nathan",0,G,26,29.0,14.58,5.12,0.88,0.85,0.19,0.6923076923076923,3.263992236964539,1.302014992648941,0.7232733339052385,-0.741377746089207,0.06763057439262392,-0.44085532012600054,-1.0740596413276542
10,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Thomas Ferdinando,0,*,27,32.2962962962963,17.04,4.15,2.7,1.07,0.07,2.7037037037037037,3.1269265743055215,1.8359734266344176,0.2033798839981887,1.0496313093958944,0.5225998930339139,-0.7469378254206749,1.6374489351822383
11,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Pridgen,Quentin",0,G,21,32.80952380952381,9.24,8.0,5.67,1.57,0.24,3.619047619047619,2.9778370807580634,0.1429344896072963,2.2668745047632837,3.9723219109292742,1.5566210717641178,-0.3133209429198862,2.8713993173292938
12,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Timmy Mulvey,0,*,27,33.7037037037037,16.15,2.04,2.37,1.15,0.04,1.7037037037037035,2.844534203622964,1.6427933427941435,-0.9275223627068376,0.7248879092255189,0.6880432816307461,-0.8234584517443436,0.28937597433950113
13,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Evely,Josiah",0,F,24,25.416666666666668,10.33,5.25,1.88,1.58,0.75,1.6666666666666667,2.5748594369331084,0.37952582824313763,0.7929497756453586,0.2426931635179914,1.5773014953387219,0.98752970458248,0.23944734616014088
14,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Hartley,Josh",0,C,23,20.782608695652176,9.52,6.0,0.7,0.83,1.7,1.826086956521739,1.9559038855375646,0.20371024632109028,1.1949292472229744,-0.9185105098185028,0.026269727243415725,3.4106828714986523,0.45435752832347553
15,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Wheaton,"Morrissey,Eoin",0,F,28,32.5,11.64,7.36,1.82,0.82,0.36,2.2857142857142856,1.9429902169365185,0.6638695471541031,1.923852022350385,0.18364890894155966,0.005589303668811626,-0.007238437625211821,1.073968702872311
16,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Armant,Jacob",0,G,25,28.88,12.28,3.76,3.12,1.12,0.08,2.24,1.7680868023083844,0.802785562499918,-0.005649441222171901,1.4629410914309178,0.6260020109069343,-0.721430949979452,1.0123425103766437
17,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"SPANN, Parker",0,0,15,32.8,12.4,6.27,1.93,1.27,0.4,3.0,1.6857379727861428,0.8288323153772584,1.339641856990916,0.29189670899835135,0.9362083645259953,0.09478906413967975,2.0368779606171232
18,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"Spenard,Pat",0,F,27,32.629629629629626,12.74,5.48,1.41,0.48,0.56,1.962962962962963,1.684321107834756,0.9026314485297227,0.9162234802624943,-0.21982016399739188,-0.697545097867727,0.5028990711992457,0.6388763715950259
19,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"McMullen,Jack",0,G,27,32.851851851851855,8.33,6.22,2.78,1.67,0.11,1.962962962962963,1.6478231006279125,-0.054586719712534586,1.3128432255524085,1.12835698216447,1.7634253075101582,-0.6449103236557835,0.6388763715950259
20,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"MOWERY, Wyatt",0,0,23,23.434782608695652,8.91,5.61,1.57,0.52,1.91,2.3043478260869565,1.5755650771156093,0.07130591919461038,0.9858999220026144,-0.06236881846023998,-0.6148234035693105,3.9463272557643325,1.0990880748134804
21,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Coast Guard,"Parks,Trevor",0,G,24,27.5,10.46,3.75,1.33,1.08,0.79,1.375,1.5382090268072284,0.4077431438602565,-0.011009167509873333,-0.29854583676596763,0.5432803166085179,1.0895572063473715,-0.15374060075232415
22,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"DOBIE, Isaac",0,g,23,29.73913043478261,16.04,4.57,1.57,1.0,0.04,3.217391304347826,1.4073574022372135,1.6189171526565815,0.42848838808165357,-0.06236881846023998,0.3778369280116851,-0.8234584517443436,2.329937299930762
23,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Coast Guard,"Frazer,Jordan",0,G,25,27.6,10.12,4.64,2.36,1.2,0.24,1.92,1.2689204899394573,0.3339440107077919,0.4660064720955641,0.7150472001294467,0.7914453995037666,-0.3133209429198862,0.5809591629069674
24,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Coast Guard,"Parent,Elijah",0,G,25,31.44,12.52,2.68,2.4,1.04,0.12,2.12,1.0688138288504128,0.8548790682545986,-0.5844998802939386,0.7544100365137346,0.46055862231010153,-0.6194034482145606,0.850573755075515
25,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Helmhold,Linus",0,C,25,23.48,11.88,6.32,1.32,0.32,0.76,2.56,1.0098855318188364,0.7159630529087838,1.3664404884294241,-0.3083865458620396,-1.028431875061392,1.013036580023703,1.4437258578463192
26,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Newman,J.R.",0,G,26,30.53846153846154,10.38,3.73,1.92,1.19,0.12,1.6153846153846154,0.9024148940530566,0.3903786419420296,-0.021728620085276436,0.28205599990227936,0.7707649759291625,-0.6194034482145606,0.1703153994502569
27,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Wheaton,"Herry,Tristan",0,G,26,31.03846153846154,12.27,2.23,2.31,1.08,0.08,2.0,0.8492199470013079,0.8006149997601396,-0.8256875632405083,0.6658436546490869,0.5432803166085179,-0.721430949979452,0.6888049997743865
28,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Reidy,Tim",0,G,26,28.576923076923077,12.77,1.77,1.31,0.81,0.08,1.1538461538461535,0.8381993761034288,0.9091431367490577,-1.0722349724747795,-0.3182272549581116,-0.01509111990579224,-0.721430949979452,-0.4518721209386991
29,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Neumann,Reid",0,G,26,31.884615384615383,12.27,2.81,1.08,0.81,0.42,1.5769230769230769,0.8302417936390606,0.8006149997601396,-0.5148234385538186,-0.5445635641677673,-0.01509111990579224,0.1458028150221254,0.11846643941784381
30,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"Malvey,Domenic",0,G,24,31.458333333333332,8.0,3.67,3.58,1.25,0.13,1.8333333333333333,0.8299526661045931,-0.1262152901252205,-0.05388697781148574,1.915613709850229,0.8948475173767871,-0.5938965727733377,0.4641261729672635
31,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Tyler Lauder,0,*,27,24.48148148148148,5.26,6.26,2.81,0.89,0.93,1.8148148148148149,0.7497872849658469,-0.7209494808244915,1.3342821307032147,1.1578791094526861,0.1503522686910403,1.446653462524492,0.4391618588775834
32,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Campbell,Zachary",0,G,25,22.32,9.8,3.6,0.84,0.92,0.56,1.12,0.6741157249813721,0.2644860030348846,-0.09140506182539648,-0.780740582473495,0.2123935394148526,0.5028990711992457,-0.49749920576722195
33,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Gasset Ruiz,Guillermo",0,G,25,25.68,7.0,4.12,2.08,1.12,1.04,1.8,0.5934857327538148,-0.34327156410305665,0.18730070513508393,0.43950734543943126,0.6260020109069343,1.7272290923779432,0.4191904076058391
34,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,Delgado-gonzalez Rome,0,g,25,33.92,9.04,5.0,2.44,0.84,0.2,2.0,0.4807139668161592,0.09952323481172885,0.6589566184528199,0.7937728728980227,0.04695015081801982,-0.41534844468477766,0.6888049997743865
35,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Matteson,Hunter",0,F,18,18.77777777777778,9.5,5.44,0.56,0.22,0.39,0.9444444444444444,0.2900428998622167,0.19936912084153366,0.8947845751116882,-1.0562804371635106,-1.235236110807433,0.06928218869845686,-0.7341609033373915
36,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Small,Elijah",0,F,12,17.0,6.17,4.58,0.42,0.67,0.75,0.4166666666666667,-0.081026706875996,-0.5234282715046606,0.433848114369355,-1.1940503645085183,-0.30461704995024935,0.98752970458248,-1.4456438548932804
37,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Logan Murphy,0,0,27,25.14814814814815,7.44,2.67,1.59,1.0,0.19,0.6666666666666666,-0.0829252162115135,-0.24776680355280867,-0.5898596065816404,-0.04268740026809599,0.3778369280116851,-0.44085532012600054,-1.1086256146825961
38,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Squires,Kyle",0,G,26,29.23076923076923,10.35,2.81,1.0,0.35,0.19,1.0,-0.20515355877483465,0.38386695372269425,-0.5148234385538186,-0.6232892369363432,-0.96639060433758,-0.44085532012600054,-0.6592679610683505
39,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"ZHANG, Michael",0,0,23,28.17391304347826,10.7,2.35,0.91,0.83,0.13,1.6956521739130437,-0.6182161899356782,0.4598366496149368,-0.7613708477880897,-0.711855618800991,0.026269727243415725,-0.5938965727733377,0.27852192473529286
40,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Volonte,Giulio",0,F,24,14.5,7.17,3.38,0.83,0.63,0.38,1.2083333333333333,-1.1817204007088853,-0.3063719975268245,-0.2093190401548306,-0.790581291569567,-0.38733874424866577,0.04377531325723396,-0.3784194275594471
41,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Margetson,Nicholas",0,G,26,26.96153846153846,4.42,4.19,2.69,0.58,0.04,1.1923076923076923,-1.258408057525562,-0.9032767509658738,0.2248187891489949,1.0397906002998223,-0.4907408621216862,-0.8234584517443436,-0.40002316090628576
42,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"GOGOLIN, Merlin",0,f,25,17.24,6.68,3.92,1.52,0.56,0.2,1.44,-1.2683178630834102,-0.41272957177596425,0.08010617938105291,-0.11157236394059995,-0.5321017092708942,-0.41534844468477766,-0.06611585829754632
43,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"WEILAND, Jackson",0,g,10,30.3,7.3,3.4,2.6,0.8,0.3,2.7,-1.4334625969883033,-0.2781546819097058,-0.1985995875794275,0.9512242184351746,-0.03577154348039634,-0.160279690272549,1.6324560723643025
44,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Bleier,Jack",0,G,24,16.958333333333332,7.0,2.29,1.29,0.54,0.04,0.8333333333333334,-1.469852717053146,-0.34327156410305665,-0.7935292055142991,-0.3379086731502556,-0.5734625564201024,-0.8234584517443436,-0.8839467878754733
45,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"Mensah,William",0,F,27,18.37037037037037,4.81,4.33,0.63,0.67,0.7,1.148148148148148,-1.4731960722551842,-0.8186248041145178,0.2998549571768164,-0.9873954734910068,-0.30461704995024935,0.8599953273763656,-0.45955344835090833
46,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Ryan Frauenheim,0,0,26,16.73076923076923,4.81,1.65,1.92,1.04,0.0,0.6153846153846154,-1.525654206332061,-0.8186248041145178,-1.136551687927198,0.28205599990227936,0.46055862231010153,-0.925485953509235,-1.17775756139248
47,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Wheaton,"Perri,Sean",0,G,28,26.857142857142858,7.46,3.07,0.93,0.36,0.07,1.0357142857142858,-1.5916286896711394,-0.24342567807325202,-0.37547055507357857,-0.692174200608847,-0.9457101807629759,-0.7469378254206749,-0.6111224981811098
48,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Paulino,John",0,G,25,26.64,4.48,4.0,3.12,1.16,0.16,2.44,-1.6002509949332109,-0.8902533745272035,0.12298398968266532,1.4629410914309178,0.7087237052053502,-0.5173759464496691,1.2819571025451906
49,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"Francoeur,Zavier",0,G,27,22.48148148148148,6.67,2.33,1.41,0.96,0.3,1.6666666666666667,-1.6482776992918573,-0.41490013451574254,-0.7720903003634928,-0.21982016399739188,0.29511523371326875,-0.160279690272549,0.23944734616014088
50,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Coast Guard,"Kendall,Ashton",0,G,25,21.72,7.16,2.04,1.8,0.8,0.04,1.56,-1.657710846118637,-0.3085425602666028,-0.9275223627068376,0.16396749074941566,-0.03577154348039634,-0.8234584517443436,0.09565289700358225
51,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Roban,Shay",0,F,24,14.208333333333334,8.13,1.79,0.46,0.33,0.13,0.75,-1.7511331337395633,-0.09799797450810165,-1.0615155198993764,-1.1546875281242304,-1.007751451486788,-0.5938965727733377,-0.9962862012790348
52,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Livingston,Xoren",0,G,25,19.36,6.4,2.16,0.84,0.56,0.04,0.64,-1.859893716719287,-0.47350532848975824,-0.8632056472544191,-0.780740582473495,-0.5321017092708942,-0.8234584517443436,-1.1445742269717358
53,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"McNamara,Brendan",0,G,25,23.12,4.88,1.72,2.52,0.36,0.04,0.8,-1.906914544308962,-0.8034308649360692,-1.099033603913287,0.8724985456665986,-0.9457101807629759,-0.8234584517443436,-0.9288825532368978
54,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Wheaton,"Zadrozny,Rex",0,F,28,15.75,5.57,3.5,0.54,0.21,0.64,1.0,-1.909065858795195,-0.6536620358913622,-0.14500232470241198,-1.0759618553556545,-1.255916534382037,0.7069540747290285,-0.6592679610683505
55,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Matanmi,Malik",0,F,26,17.307692307692307,4.08,3.96,1.12,0.38,0.58,1.1153846153846154,-2.008952109501959,-0.977075884118338,0.10154508453185912,-0.5052007277834792,-0.9043493336137677,0.5539128220816912,-0.5037210809711116
56,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Morvillo,Matt",0,F,25,12.52,4.56,4.04,0.88,0.52,0.12,0.8,-2.0376535243993863,-0.8728888726089769,0.1444228948334715,-0.741377746089207,-0.6148234035693105,-0.6194034482145606,-0.9288825532368978
57,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Wheaton,"Pedevillano,Sal",0,G,26,19.692307692307693,4.92,2.54,1.23,0.46,0.04,0.7307692307692307,-2.292453164532271,-0.7947486139769557,-0.6595360483217604,-0.39695292772668755,-0.7389059450169351,-0.8234584517443436,-1.0222106812952414
58,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Gardiner,Asher",0,F,25,11.88,3.72,3.16,0.68,0.6,0.48,0.88,-2.4146683486030804,-1.055216142750359,-0.32723301848426445,-0.9381919280106467,-0.44938001497247804,0.2988440676694626,-0.821036716369479
59,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"WINDHAM, Woods",0,0,14,14.357142857142858,3.86,3.79,0.43,0.71,0.07,0.6428571428571429,-2.4431409898106327,-1.024828264393462,0.010429737640932869,-1.1842096554124464,-0.22189535565183321,-0.7469378254206749,-1.1407225899407565
60,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Lopes,Ajay",0,G,23,16.782608695652176,6.04,1.22,1.61,0.22,0.17,1.2173913043478262,-2.64689499800975,-0.5516455871217792,-1.3670199182983644,-0.023005982075952003,-1.235236110807433,-0.49186907100844623,-0.36620862175471197
61,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,WPI,"Schreiber,Tao",0,G,22,12.227272727272728,4.27,2.05,1.05,0.82,0.41,1.318181818181818,-2.6718330677362956,-0.9358351920625493,-0.9221626364191362,-0.5740856914559832,0.005589303668811626,0.12029593958090248,-0.23033565534566186
62,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"EWING, Mike",0,f,20,22.45,5.0,3.25,0.3,0.3,0.3,1.0,-2.756184110393785,-0.7773841120587288,-0.27899548189495066,-1.3121388736613822,-1.0697927222106003,-0.160279690272549,-0.6592679610683505
63,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Rodriguez,Cedric",0,G,25,22.8,5.44,2.8,0.92,0.4,0.2,1.4,-2.762434799389133,-0.6818793515084809,-0.5201831648415203,-0.7020149097049191,-0.8629884864645595,-0.41534844468477766,-0.12003877673125585
64,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Gramlich,Hank",0,G,25,13.2,2.8,2.12,1.92,0.64,0.2,1.04,-2.8383551649437058,-1.2549079148099684,-0.8846445524052253,0.28205599990227936,-0.3666583206740617,-0.41534844468477766,-0.605345042634641
65,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Clark,Trace",0,G,13,15.76923076923077,3.0,1.46,1.15,1.0,0.15,0.6923076923076923,-2.8461141154284353,-1.211496660014401,-1.2383864873935273,-0.4756786004952635,0.3778369280116851,-0.542882821890892,-1.0740596413276542
66,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Wheaton,"Scandura,Nick",0,F,28,17.357142857142858,3.46,2.5,0.89,0.54,0.11,0.7142857142857143,-2.9857010500001064,-1.1116507739845964,-0.6809749534725665,-0.731537036993135,-0.5734625564201024,-0.6449103236557835,-1.0444316641662754
67,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Springfield,"Robinson,Zander",0,G,25,12.52,3.36,1.76,0.92,0.32,0.28,0.52,-3.087227800981842,-1.1333564013823803,-1.077594698762481,-0.7020149097049191,-1.028431875061392,-0.21129344115499465,-1.3063429822728643
68,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Coast Guard,"Dabbondanza,Aiden",0,G,23,17.782608695652176,3.3,1.78,1.26,0.61,0.52,1.3043478260869563,-3.1114998904383393,-1.1463797778210503,-1.0668752461870779,-0.3674308004384716,-0.42869959139787395,0.40087156943435415,-0.24898488602925695
69,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Robby Fiore,0,0,27,12.666666666666666,4.89,1.33,0.81,0.26,0.0,0.6666666666666666,-3.237448244882381,-0.8012603021962909,-1.3080629291336474,-0.8102627097617109,-1.1525144165090166,-0.925485953509235,-1.1086256146825961
70,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Salve Regina,"Linder,Rowan",0,G,18,11.555555555555555,4.06,1.0,0.33,0.56,0.39,0.6666666666666666,-3.244628737836606,-0.9814170095978949,-1.4849338966277985,-1.2826167463731661,-0.5321017092708942,0.06928218869845686,-1.1086256146825961
71,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Coast Guard,"Rodgers,Christian",0,G,25,16.04,2.52,2.4,1.48,0.44,0.04,1.2,-3.7413624615550547,-1.3156836715237625,-0.7345722163495821,-0.1509352003248879,-0.7802667921661433,-0.8234584517443436,-0.3896533688998032
72,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Emerson,"Luessenhop,Otto",0,F,22,10.5,2.5,1.5,0.32,0.0,0.27,0.2727272727272727,-4.048388265537025,-1.3200247970033192,-1.2169475822427211,-1.292457455469238,-1.6902054294487228,-0.23680031659621756,-1.6396846598630683
73,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,MIT,"CHEN, Samuel",0,0,20,10.7,1.05,1.2,0.95,0.6,0.0,0.45,-4.271541808461064,-1.6347563942711816,-1.3777393708737677,-0.6724927824167032,-0.44938001497247804,-0.925485953509235,-1.400708089531856
74,newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Clark,"Clarke,Christopher",0,G,24,10.041666666666666,2.17,1.92,0.42,0.17,0.13,0.7083333333333334,-4.437732019041695,-1.391653367416005,-0.9918390781592563,-1.1940503645085183,-1.3386382286804532,-0.5938965727733377,-1.0524559079808153
